Annova	Phenotype
NDUFAF1	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFAF2	"Leigh综合征(256000,AR,Mi);线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFAF3	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFAF4	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFAF5	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFAF6	"Leigh综合征(256000,AR,Mi)"
NDUFB11	"线性皮肤缺损伴多发性先天异常3型(300952,XLD);线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFB3	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFB9	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFS1	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFS2	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFS3	"Leigh综合征(256000,AR,Mi);线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFS4	"Leigh综合征(256000,AR,Mi);线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFS6	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFS7	"Leigh综合征(256000,AR,Mi)"
NDUFS8	"Leigh综合征(256000,AR,Mi)"
NDUFV1	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NDUFV2	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NEB	"线状体肌病2型(256030,AR)"
NECAP1	"早期幼儿癫痫性脑病21型(615833,AR)"
NEDD4L	"脑室周围结节性异位7型(617201,AD)"
NEFH	"肌萎缩侧索硬化症1型(105400,AD,AR)"
NEFL	"腓骨肌萎缩症1F型(607734,AD,AR);腓骨肌萎缩症2E型(607684,AD)"
NEK9	"致死性先天挛缩综合征10型(617022,AR)"
NEU1	"神经氨酸酶缺乏症(256550,AR)"
NEXN	"扩张型心肌病1CC型(613122,AD);肥厚型心肌病20型(613876,AD)"
NF1	"神经纤维瘤病FS型(162210,AD);神经纤维瘤病1型(162200,AD);神经纤维瘤病NS型(601321,AD);沃森综合征(193520,AD)"
NF2	"脑膜瘤(607174,SMu);神经纤维瘤病2型(101000,AD);神经鞘瘤1型(162091,AD)"
NFIX	"马歇尔-史密斯综合征(602535,AD)"
NFKB2	"普通变异性免疫缺陷病10型(615577,AD)"
NFU1	"线粒体多功能失调综合征1型(605711,AR)"
NGF	"遗传性感觉和自主神经性神经病5型(608654,AR)"
NGLY1	"先天性糖基化障碍1V型(615273,AR)"
NHLRC1	"进行性肌阵挛癫痫2B型(254780,AR)"
NHS	"南希-霍兰综合征(302350,XLD)"
NIN	"Seckel综合征7型(614851,AR)"
NIPA1	"痉挛性截瘫6型(600363,AD)"
NIPBL	"科尼利亚德兰综合征1型(122470,AD)"
NKX2-1	"良性遗传性舞蹈病(118700,AD);舞蹈症和先天性甲状腺功能减退伴或不伴肺部缺陷(610978,AD)"
NKX2-5	"先天性非甲状腺肿性甲低5型(225250,AD)"
NKX6-2	"遗传性痉挛性共济失调8型(617560,AR)"
NLGN3	"阿斯伯格综合征1型(300494,XL,IC,Mu);X连锁孤独症1型(300425,XL,IC,Mu)"
NLGN4X	"阿斯伯格综合征2型(300497,XL,IC,Mu);X连锁孤独症2型(300495,XL,IC,Mu)"
NLRP12	"家族性冷自身炎症反应综合征2型(611762,AD)"
NLRP3	"家族性冷自身炎症反应综合征1型(120100,AD)"
NME1	"神经母细胞瘤(256700,IC,?AD)"
NNT	"糖皮质激素缺乏或家族性糖皮质激素缺乏4型(614736,AR)"
NOG	"近端指关节粘连1A型(185800,AD)"
NOL3	"家族性皮质肌阵挛(614937,AD)"
NHP2	"常染色体隐性遗传先天性角化不良2型(613987,AR)"
NOP10	"常染色体隐性遗传先天性角化不良1型(224230,AR)"
NONO	"X连锁智力低下综合征34型(300967,XL)"
NOP56	"脊髓小脑性共济失调36型(614153,AD)"
NOS3	"阿尔茨海默病1型(104300,AD)"
NOTCH2	"Hajdu-Cheney综合征(102500,AD)"
NOTCH3	"伴皮质下梗死和脑白质病的常染色体显性遗传性脑动脉病(125310,AD);侧脊膜膨出综合征(130720,AD);婴幼儿肌纤维瘤病2型(615293,AD)"
NPC1	"尼曼-皮克病C1型(257220,AR)"
NPC2	"尼曼-皮克病C2型(607625,AR)"
NPHP1	"Joubert综合征4型(609583,AR)"
NPHP3	"内脏囊肿，脑发育不良综合征7型(267010,AR);肾，肝，胰腺发育不良(208540,AR)"
NPR2	"肢端中段骨发育不良(602875,AR)"
NPRL2	"家族性局灶多灶性癫痫2型(617116,AD)"
NPRL3	"家族性局灶多灶性癫痫3型(617118,AD)"
NR2F1	"Bosch-Boonstra-Schaaf视神经萎缩综合征(615722,AD)"
NRAS	"努南综合征6型(613224,AD)"
NRXN1	"Pitt-Hopkins样综合征2型(614325,AR)"
NSD1	"B-W综合征(130650,AD);SOTOS综合征1型(117550,AD)"
NSDHL	"伴鱼鳞病样痣和肢体缺损的先天性半身发育异常(308050,XLD);CK综合征(300831,XLR)"
NSUN2	"常染色体隐性精神发育迟滞5型(611091,AR)"
NT5C2	"痉挛性截瘫45型(613162,AR)"
NTRK1	"先天性无痛无汗症(256800,AR)"
NUBPL	"线粒体复合物Ⅰ缺陷症(252010,AR,XLD,Mi?)"
NUP62	"常染色体隐性婴儿纹状体，黑质变性(271930,AR)"
NUS1	"先天性糖基化障碍1AA型(617082,AR)"
OAT	"脉络膜视网膜环状萎缩，伴或不伴鸟氨酸血症(258870,AR)"
OCLN	"多小脑回带状钙化症(251290,AR)"
OCRL	"Dent病(300555,XLR);眼脑肾综合征(309000,XLR)"
OFD1	"Joubert综合征10型(300804,XLR);口-面-指综合征1型(311200,XLD);Simpson-Golabi-Behmel综合征2型(300209,XLR)"
OPA1	"遗传性视神经萎缩叠加综合征1型(125250,AD)"
OPA3	"3-甲基戊烯二酸尿症III型(258501,AR);遗传性视神经萎缩叠加综合征3型(165300,AD)"
OPHN1	"脑发育不全并特异性面容X连锁精神发育迟滞(300486,XLR)"
OPTN	"肌萎缩侧索硬化症12型(613435,AD,AR)"
OR2J3	"顺式-3-己烯醇相关嗅觉(615082,AD)"
ORAI1	"管状聚集性肌病2型(615883,AD)"
ORC1	"Meier-Gorlin综合征1型(224690,AR)"
ORC4	"Meier-Gorlin 综合征2型(613800,AR)"
ORC6	"Meier-Gorlin综合征3型(613803,AR)"
OSMR	"原发性皮肤淀粉样变(105250,AD)"
OSTM1	"骨硬化症B5型(259720,AR)"
OTC	"鸟氨酸氨甲酰基转移酶缺陷症(311250,XLR)"
OTOF	"耳聋B9型(601071,AR)"
OTX2	"小眼畸形综合征5型(610125,AD);联合垂体激素缺乏症6型(613986,AD)"
P3H1	"成骨不全8型(610915,AR)"
PABPN1	"眼咽型肌营养不良(164300,AD)"
PACS1	"常染色体显性精神发育迟滞17型(615009,AD)"
PAFAH1B1	"无脑回畸形综合征1型(607432,IC)"
PAH	"苯丙酮尿症(261600,AR)"
PAK3	"X连锁智力低下30型(300558,XLR)"
PANK2	"前β-脂蛋白降低伴棘红细胞增多，视网膜色素变性，苍白球变性(607236,AR);脑组织铁沉积性神经变性病1型(234200,AR)"
PARN	"常染色体隐性遗传先天性角化不良6型(616353,AR)"
PAX1	"耳-面-长颈综合征2型(615560,AR)"
PAX2	"视乳头-肾综合征(120330,AD)"
PAX3	"横纹肌肉瘤2型(268220,AR);Waardenburg综合征1型(193500,AD);Waardenburg综合征3型(148820,AD,AR)"
PAX7	"横纹肌肉瘤2型(268220,AR)"
PAX8	"先天性非甲状腺肿性甲低2型(218700,AD)"
PC	"丙酮酸羧化酶缺乏症(266150,AR)"
PCBD1	"四氢生物蝶呤反应性高苯丙氨酸血症D型(264070,AR)"
PCCA	"丙酸血症(606054,AR)"
PCCB	"丙酸血症(606054,AR)"
PCDH15	"Usher综合征1F型(602083,AR)"
PCDH19	"早期幼儿癫痫性脑病9型(300088,XL)"
PCLO	"脑桥，小脑发育不良3型(608027,AR)"
PCNA	"类共济失调毛细血管扩张症2型(615919,AR)"
PCNT	"小头发育不良性先天侏儒2型(210720,AR)"
PDCD10	"脑海绵状血管畸形3型(603285,)"
PDE11A	"原发性色素性结节性肾上腺皮质病2型(610475,AD)"
PDE4D	"伴或不伴激素抵抗的肢端发育不全2型(614613,AD)"
PDE6D	"Joubert综合征22型(615665,AR)"
PDE8B	"纹状体变性(609161,AD)"
PDGFB	"特发性基底核钙化5型(615483,AD);脑膜瘤(607174,AD)"
PDGFRB	"特发性基底核钙化4型(615007,AD);小儿肌纤维瘤病1型(228550,AD)"
PDHA1	"丙酮酸脱氢酶复合体缺乏症AD型(312170,XLD)"
PDHB	"丙酮酸脱氢酶E1-β缺乏症(614111,AR)"
PDK3	"X连锁显性腓骨肌萎缩症6型(300905,XLD)"
PDP1	"丙酮酸脱氢酶复合体缺乏症PD型(608782,AR)"
PDSS1	"原发性辅酶Q10缺乏2型(614651,AR)"
PDSS2	"原发性辅酶Q10缺乏3型(614652,AR)"
PDX1	"丙酮酸脱氢酶复合体缺乏症XD型(245349,AR)"
PDYN	"脊髓小脑性共济失调23型(610245,AD)"
PEPD	"氨酰基脯氨酸酶缺乏症(170100,AR)"
PER2	"睡眠期提前综合征(604348,AD)"
PET100	"线粒体复合物IV缺陷症(220110,AR,Mi)"
PEX1	"过氧化物酶体病1A型(214100,AR);过氧化物酶体病1B型(601539,AR)"
PEX10	"过氧化物酶体病6A型(614870,AR);过氧化物酶体病6B型(614871,AR)"
PEX11B	"过氧化物酶体病14B型(614920,AR)"
PEX12	"过氧化物酶体病3A型(614859,AR);过氧化物酶体病3B型(266510,AR)"
PEX13	"过氧化物酶体病11A型(614883,AR);过氧化物酶体病11B型(614885,AR)"
PEX14	"过氧化物酶体病13A型(614887,AR)"
PEX16	"过氧化物酶体病8A型(614876,AR);过氧化物酶体病8B型(614877,AR)"
PEX19	"过氧化物酶体病12A型(614886,AR)"
PEX2	"过氧化物酶体病5A型(614866,AR);过氧化物酶体病5B型(614867,AR)"
PEX26	"过氧化物酶体病7A型(614872,AR);过氧化物酶体病7B型(614873,AR)"
PEX3	"过氧化物酶体病10A型(614882,AR);过氧化物酶体病10B型(617370,AR)"
PEX5	"过氧化物酶体病2A型(214110,AR);过氧化物酶体病2B型(202370,AR);肢近端型点状软骨发育不良5型(616716,AR)"
PEX6	"过氧化物酶体病4A型(614862,AR);过氧化物酶体病4B型(614863,AR)"
PEX7	"Refsum病成人2型(614879,AR);肢近端型点状软骨发育不良1型(215100,AR)"
PFKM	"糖原贮积病7型(232800,AR)"
PFN1	"肌萎缩侧索硬化症18型(614808,AD)"
PGAM2	"糖原贮积病10型(261670,AR)"
PGAP1	"常染色体隐性精神发育迟滞42型(615802,AR)"
PGAP2	"高磷酸酶血症伴精神发育迟滞综合征3型(614207,AR)"
PGAP3	"高磷酸酶血症伴精神发育迟滞综合征4型(615716,AR)"
PGK1	"磷酸甘油酸激酶1缺乏症(300653,XLR)"
PGM1	"先天性糖基化障碍1T型(614921,AR)"
PGM3	"免疫缺陷病23型(615816,AR)"
SPG7	"痉挛性截瘫7型(607259,AD,AR)"
PHC1	"小头畸形11型(615414,AR)"
PHF6	"Borjeson-Forssman-Lehmann综合征(301900,XLR)"
PHF8	"X连锁智力低下综合征Siderius型(300263,XLR)"
PHGDH	"Neu-Laxova综合征(256520,AR);磷酸甘油酸脱氢酶缺乏症(601815,AR)"
PHKA1	"糖原贮积病9D型(300559,XLR)"
PHKA2	"糖原贮积症9A1型(306000,XLR)"
PHKB	"糖原贮积病9B型(261750,AR)"
PHKG2	"糖原贮积症9C型(613027,AR)"
PHOX2A	"先天性眼外肌纤维化综合征2型(602078,AR)"
PHYH	"遗传性运动失调性多发性神经炎(266500,AR)"
PI4KA	"外侧裂周区多小脑回畸形伴小脑发育不良和关节弯曲(616531,AR)"
PIEZO2	"远端关节挛缩症3型(114300,AD);远端关节挛缩症5型(108145,AD);马-沃综合征(248700,AD)"
PIGA	"多发性先天畸形-肌张力减低癫痫综合征2型(300868,XLR)"
PIGG	"常染色体隐性精神发育迟滞53型(616917,AR)"
PIGL	"CHIME综合征(280000,AR)"
PIGM	"糖基化磷脂酰肌醇缺陷症(610293,AR)"
PIGN	"多发性先天畸形-肌张力减低癫痫综合征1型(614080,AR)"
PIGO	"高磷酸酶血症伴精神发育迟滞综合征2型(614749,AR)"
PIGP	"早期幼儿癫痫性脑病55型(617599,AR)"
PIGT	"多发性先天畸形-肌张力减低癫痫综合征3型(615398,AR);阵发性睡眠性血红蛋白尿2型(615399,AD,SMu)"
PIGV	"高磷酸酶血症伴精神发育迟滞综合征1型(239300,AR)"
PIGW	"高磷酸酶血症伴精神发育迟滞综合征5型(616025,AR)"
PIGY	"高磷酸酶血症伴精神发育迟滞综合征6型(616809,AR)"
PIK3R1	"SHORT综合征(269880,AD)"
PIK3R2	"巨颅，多小脑回，多指畸形，脑积水综合征1型(603387,AD)"
PIK3R5	"共济失调伴动眼神经失用症3型(615217,AR)"
PINK1	"遗传性帕金森病6型(605909,AR)"
PIP5K1C	"致死性先天挛缩综合征3型(611369,AR)"
PLA2G6	"脑组织铁沉积性神经变性病2A型(256600,AR);脑组织铁沉积性神经变性病2B型(610217,AR);遗传性帕金森病14型(612953,AR)"
PLAU	"阿尔茨海默病1型(104300,AD)"
PLCB1	"早期幼儿癫痫性脑病12型(613722,AR)"
PLEC	"表皮松解大疱性单纯肌肌营养不良症(226670,AR);肢带型肌营养不良2Q型(613723,AR)"
PLEKHG5	"腓骨肌萎缩症隐性中间C型(615376,AR);遗传性远端脊肌萎缩症4型(611067,AR)"
PLG	"血纤溶酶原缺乏症Ⅰ型(217090,AR)"
PLIN1	"家族遗传性局部脂肪代谢障碍4型(613877,AD)"
PLK4	"小头畸形伴视网膜，脉络膜病变2型(616171,AR)"
PLN	"扩张型心肌病1P型(609909,AD);肥厚型心肌病18型(613874,AD)"
PLOD1	"埃莱尔-当洛综合征6型(225400,AR)"
PLOD2	"Bruck综合征2型(609220,AR)"
PLOD3	"骨骼脆弱挛缩，动脉破裂，耳聋综合征(612394,AR)"
PLP1	"佩-梅病(312080,XLR);痉挛性截瘫2型(312920,XLR)"
PMM2	"先天性糖基化障碍1A型(212065,AR)"
PMP22	"腓骨肌萎缩症1A型(118220,AD);腓骨肌萎缩症1E型(118300,AD);Dejerine-Sottas综合征(145900,AD,AR);遗传性吉兰-巴雷综合征(139393,AD);遗传性压力易感性周围神经病(162500,AD);腓骨肌萎缩型共济失调(180800,AD)"
PMPCA	"常染色体隐性遗传性脊髓小脑性共济失调2型(213200,AR)"
PMS2	"错配修复肿瘤综合征(276300,AR)"
PHOX2B	"先天性中枢性低通气综合征(209880,AD);神经母细胞瘤2型(613013,AD)"
PNKP	"共济失调伴动眼神经失用症4型(616267,AR);小头畸形-癫痫-发育迟缓(613402,AR)"
PNP	"嘌呤核苷磷酸化酶缺乏症(613179,AR)"
PNPLA2	"中性脂质贮积肌病(610717,AR)"
PNPLA6	"Boucher-Neuhauser综合征(215470,AR);Laurence-Moon综合征(245800,AR);痉挛性截瘫39型(612020,AR)"
PNPLA8	"线粒体肌病伴乳酸性酸中毒(251950,AR)"
PNPO	"5-磷酸吡哆胺氧化酶缺乏症(610090,AR)"
PNPT1	"氧化磷酸化结合障碍性疾病13型(614932,AR)"
POC1A	"身材矮小，甲营养不良，面部异形和少毛综合征(614813,AR)"
POGLUT1	"肢带型肌营养不良2Z型(617232,AR)"
POGZ	"常染色体显性精神发育迟滞37型(616364,AD)"
POLG	"线粒体DNA消耗综合征4A型(203700,AR);线粒体DNA消耗综合征4B型(613662,AR);常染色体显性进行性眼外肌麻痹1型(157640,AD);常染色体隐性进行性眼外肌麻痹1型(258450,AR);感觉性共济失调，神经病变性运动性	构音障碍及眼外肌麻痹(607459,AR)"
POLG2	"常染色体显性进行性眼外肌麻痹4型(610131,AD)"
POLR1C	"髓鞘形成不足性脑白质营养不良11型(616494,AR)"
POLR1D	"Treacher-Collins综合征2型(613717,AD)"
POLR3A	"髓鞘形成不足性脑白质营养不良7型(607694,AR)"
POLR3B	"髓鞘形成不足性脑白质营养不良8型(614381,AR)"
POMGNT1	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A3型(253280,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常B3型(613151,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常C3型(613157,AR)"
POMGNT2	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A8型(614830,AR)"
POMK	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A12型(615249,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常C12型(616094,AR)"
POMT1	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A1型(236670,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常B1型(613155,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常C1型(609308,AR)"
POMT2	"先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常A2型(613150,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常B2型(613156,AR);先天性肌营养不良抗肌萎缩相关糖蛋白病伴随眼异常C2型(613158,AR)"
POR	"Antley-Bixler综合征1型(201750,AR)"
PORCN	"局灶性真皮发育不全综合征/格尔茨综合征(305600,XLD)"
POT1	"神经胶质瘤9型(616568,AD)"
POU1F1	"联合垂体激素缺乏症1型(613038,AD,AR)"
PPARG	"家族遗传性局部脂肪代谢障碍3型(604367,AD)"
PPOX	"变异性卟啉症(176200,AD)"
PPP1R15B	"头小畸形，身材矮小和葡萄糖代谢损伤综合征(616817,AR)"
PPP2R1A	"常染色体显性精神发育迟滞36型(616362,AD)"
PPP2R2B	"脊髓小脑性共济失调12型(604326,AD)"
PPP2R5D	"常染色体显性精神发育迟滞35型(616355,AD)"
PPT1	"神经元蜡样质脂褐素沉积病1型(256730,AR)"
PQBP1	"Renpenning综合征1型(309500,XLR)"
PRDM12	"遗传性感觉和自主神经性神经病8型(616488,AR)"
PRDM16	"扩张型心肌病1LL型(615373,AD)"
PRDM8	"进行性肌阵挛癫痫10型(616640,AR)"
PREPL	"先天性肌无力综合征22型(616224,AR)"
PRF1	"家族性噬血细胞性淋巴组织细胞增生症(603553,AR)"
PRICKLE1	"进行性肌阵挛癫痫1B型(612437,AR)"
PRKAG2	"肥厚型心肌病6型(600858,AD);先天致死性心脏型糖原贮积病(261740,AD)"
PRKAR1A	"伴或不伴激素抵抗的肢端发育不全1型(101800,AD);原发性色素性结节性肾上腺皮质病1型(610489,AD)"
PRKCG	"脊髓小脑性共济失调14型(605361,AD)"
PRKCSH	"独立性多囊肝病(174050,AD)"
PARK2	"遗传性帕金森病2型(600116,AR)"
PRKRA	"肌张力障碍16型(612067,AR)"
PRMT7	"身材矮小，短指，智力发育障碍和癫痫发作(617157,AR)"
PRNP	"克-雅病(123400,AD);Gerstmann-Straussler 病(137440,AD);类亨廷顿病1型(603218,AD);家族性致死性失眠症(600072,AD);苦鲁病(245300,);伴神经精神症状的海绵状脑病(606688,AD)"
PROC	"遗传性蛋白C缺陷症3型(176860,AD);遗传性蛋白C缺陷症4型(612304,AR)"
PRODH	"高脯氨酸血症I型(239500,AR)"
PROP1	"联合垂体激素缺乏症2型(262600,AR)"
PROSC	"维生素B6依赖的早发性癫痫(617290,AR)"
PRPH	"肌萎缩侧索硬化症1型(105400,AD,AR)"
PRPS1	"Arts综合征(301835,XLR);X连锁隐性腓骨肌萎缩症5型(311070,XLR);磷酸核糖焦磷酸合成酶超活性(300661,XLR)"
PRRT2	"家族性婴儿惊厥伴发作性舞蹈手足徐动症(602066,AD);发作性运动诱发性运动障碍1型(128200,AD);良性家族性婴儿惊厥2型(605751,AD)"
PRRX1	"无下颉并耳复杂畸形(202650,AD,AR)"
PRSS12	"常染色体隐性精神发育迟滞1型(249500,AR)"
PRX	"腓骨肌萎缩症4F型(614895,AR);Dejerine-Sottas综合征(145900,AD,AR)"
PSAP	"结合鞘脂酶激活蛋白缺乏症(611721,AR);鞘脂激活蛋白A缺乏症导致的非典型性克拉伯病(611722,AR);神经鞘脂激活蛋白B所致异染性脑白质病(249900,AR)"
PSAT1	"Neu-Laxova综合征2型 (616038,AR);磷酸丝氨酸转氨酶缺乏症(610992,AR)"
PSEN1	"阿尔茨海默病3型(607822,AD);扩张型心肌病1U型(613694,AD);额颞叶痴呆(600274,AD);Pick病(172700,AD,IC)"
PSEN2	"阿尔茨海默病4型(606889,AD);扩张型心肌病1V型(613697,AD)"
PSMB8	"自身免疫反应，脂肪代谢障碍和皮肤病综合征(256040,AR)"
PSPH	"磷酸丝氨酸磷酸酶缺乏症(614023,AR)"
PTCH1	"基底细胞痣综合征(109400,AD);全前脑7型(610828,AD)"
PTCH2	"基底细胞痣综合征(109400,AD);成神经管细胞瘤(155255,AD,AR)"
PTDSS1	"Lenz-Majewski骨肥大性侏儒症(151050,AD)"
PTEN	"Bannayan-Riley-Ruvalcaba综合征(153480,AD);多发性错构瘤综合征1型(158350,AD);神经胶质瘤易感性2型(613028,);巨颅，孤独综合征(605309,AD);脑膜瘤(607174,AD);VACTERL综合征合并脑积水(276950,AR)"
PTF1A	"胰腺和小脑发育不全(609069,AR)"
PTH	"家族性孤立性甲状旁腺功能减退(146200,AD)"
PTH1R	"Eiken骨骼发育不良(600002,AR)"
PTPN11	"豹皮综合征1型(151100,AD);努南综合征1型(163950,AD)"
PTPRQ	"耳聋B84A型(613391,AR)"
PTRF	"先天性全身性脂代谢营养不良4型(613327,AR)"
PTRH2	"婴儿发作的多系统神经病变伴内分泌和胰腺疾病(616263,AR)"
PTS	"四氢生物蝶呤反应性高苯丙氨酸血症A型(261640,AR)"
PUF60	"弗赫耶综合征(615583,AD)"
PURA	"常染色体显性精神发育迟滞31型(616158,AD)"
PUS1	"伴乳酸酸中毒及铁粒幼红细胞贫血的肌病1型(600462,AR)"
PUS3	"常染色体隐性精神发育迟滞55型(617051,AR)"
PYCR1	"常染色体隐性皮肤松弛症II B型(612940,AR);常染色体隐性皮肤松弛症3B型(614438,AR)"
PYCR2	"髓鞘形成不足性脑白质营养不良10型(616420,AR)"
PYGL	"糖原贮积病6型(232700,AR)"
PYGM	"糖原贮积病5型(232600,AR)"
PYROXD1	"肌原纤维肌病8型(617258,AR)"
QARS	"小头畸形伴大脑小脑萎缩(615760,AR)"
QDPR	"BH4缺乏性高苯丙氨酸血症C型(261630,AR)"
RAB18	"Warburg Micro综合征3型(614222,AR)"
RAB23	"卡朋特综合征1型(201000,AR)"
RAB27A	"格里希综合征2型(607624,AR)"
RAB39B	"X连锁智力低下72型(300271,XLR);Waisman综合征(311510,XLR)"
RAB3GAP1	"Warburg Micro综合征1型(600118,AR)"
RAB3GAP2	"Martsolf综合征(212720,AR);Warburg Micro综合征2型(614225,AR)"
RAB7A	"腓骨肌萎缩症2B型(600882,AD)"
RAD21	"科尼利亚德兰综合征4型(614701,AD)"
RAD51	"镜像运动2型(614508,AD)"
RAF1	"努南综合征5型(611553,AD)"
RAG1	"重度联合免疫缺陷T-B-NK+型(601457,AR)"
RAG2	"重度联合免疫缺陷T-B-NK+型(601457,AR)"
RAI1	"Smith-Magenis综合征(182290,AD,IC)"
RANBP2	"急性感染性脑病(608033,AD)"
RAPSN	"胎儿运动功能丧失变型序列(208150,AR);先天性肌无力综合征11型(616326,AR)"
RARB	"小眼畸形综合征12型(615524,AD,AR)"
RARS	"髓鞘形成不足性脑白质营养不良9型(616140,AR)"
RARS2	"脑桥，小脑发育不良6型(611523,AR)"
RBBP8	"贾瓦德综合征(251255,AR);Seckel综合征2型(606744,AR)"
RBCK1	"伴或不伴免疫缺陷多糖体肌病(615895,AR)"
RBM10	"TARP综合征(311900,XLR)"
RBM20	"扩张型心肌病1DD型(613172,AD)"
RBM28	"秃头，神经系统缺陷，内分泌失调综合征(612079,AR)"
RBM8A	"血小板减少及无桡骨综白征(274000,AR)"
RBPJ	"Adams-Oliver 综合征3型(614814,AD)"
RDH11	"视网膜营养不良，青少年白内障和身材矮小综合征(616108,AR)"
BLM	"Bloom综合征(210900,AR)"
RECQL4	"鲍莱尔-格罗尔德综合征(218600,AR);RAPADILINO综合征(266280,AR);Rothmund-Thomson综合征(268400,AR)"
REEP1	"远端型遗传性运动性神经元病5B型(614751,AD);痉挛性截瘫31型(610250,AD)"
REEP2	"痉挛性截瘫72型(615625,AD,AR)"
RELN	"家族性颞叶癫痫7型(616436,AD);无脑回畸形综合征2型(257320,AR)"
RET	"先天性中枢性低通气综合征(209880,AD);多发性内分泌瘤病2B型(162300,AD)"
RFT1	"先天性糖基化障碍1N型(612015,AR)"
RFX5	"裸淋巴细胞综合征2型(209920,AR)"
RFXANK	"裸淋巴细胞综合征2型(209920,AR)"
RFXAP	"裸淋巴细胞综合征2型(209920,AR)"
RIN2	"巨颅，秃头，皮肤松弛，脊柱侧凸综合征(613075,AR)"
RIT1	"努南综合征8型(615355,AD)"
RMND1	"氧化磷酸化结合障碍性疾病11型(614922,AR)"
RMRP	"生长发育不全(607095,AR)"
RNASEH1	"常染色体隐性进行性眼外肌麻痹伴线粒体DNA缺失2型(616479,AR)"
RNASEH2A	"Aicardi-Goutieres 综合征4型(610333,AR)"
RNASEH2B	"Aicardi Goutieres综合征2型(610181,AR)"
RNASEH2C	"Aicardi Goutieres综合征3型(610329,AR)"
RNASET2	"伴皮质下囊肿的非巨颅性脑白质病(612951,AR)"
RLIM	"X 连锁精神发育迟滞61型(300978,XLR)"
RNF168	"RIDDLE综合征(611943,AR)"
RNF170	"感觉性共济失调1型（常染色体显性共济失调）(608984,AD)"
RNF213	"烟雾病2型(607151,)"
RNF216	"戈登·霍姆斯综合征(212840,AR)"
RNU4ATAC	"小头发育不良性先天侏儒1型(210710,AR);Roifman综合征(616651,AR)"
ROBO3	"家族性水平凝视麻痹伴进行性脊柱侧凸症1型(607313,AR)"
ROGDI	"Kohlschutter-Tonz综合征(226750,AR)"
ROR2	"常染色体隐性遗传Robinow综合征(268310,AR)"
RPE65	"Leber先天性黑矇症2型(204100,AR)"
RPGRIP1L	"COACH综合征(216360,AR);Joubert综合征7型(611560,AR);内脏囊肿，脑发育不良综合征5型(611561,AR)"
RPIA	"5-磷酸核糖异构酶缺乏症(608611,AR)"
RPL10	"X连锁智力低下综合征35型(300998,XLR)"
RPS19	"戴-布二氏贫血(105650,AD)"
RPS6KA3	"Coffin-Lowry综合征(303600,XLD,IC);X 连锁智力发育迟滞19型(300844,XLD)"
RRM2B	"线粒体DNA消耗综合征8A型(612075,AR);常染色体显性进行性眼外肌麻痹5型(613077,AD)"
RSPRY1	"Faden-Alkuraya 型脊椎干骺端发育不良(616723,AR)"
RTEL1	"常染色体隐性遗传先天性角化不良5型(615190,AD,AR)"
RTN2	"痉挛性截瘫12型(604805,AD)"
RTTN	"多小脑回伴癫痫发作(614833,AR)"
RUBCN	"常染色体隐性遗传性脊髓小脑性共济失调15型(615705,AR)"
RUNX2	"颅骨锁骨发育不全症(119600,AD)"
RYR1	"肌中央轴空病(117000,AD,AR);King-Denborough综合征(145600,AD);微核肌病伴眼外肌麻痹(255320,AR)"
RYR2	"儿茶酚胺依赖性室性心动过速(604772,AD)"
SACS	"察挛性共济失调Charlevoix-Saguenay型(270550,AR)"
SAMHD1	"Aicardi Goutieres综合征5型(612952,AR)"
SAR1B	"乳糜微粒滞留症(246700,AR)"
